id,name,year,section,subject,coursecode,classes cond,present,absent
1,a,2,11,pfsd,19TS2201S,10,8,2
2,b,2,11,pfsd,19TS2201S,10,5,5
3,c,2,11,pfsd,19TS2201S,10,10,0
4,d,2,11,pfsd,19TS2201S,10,6,4
5,e,2,11,pfsd,19TS2201S,10,4,6
6,f,2,11,pfsd,19TS2201S,10,10,0
7,g,2,11,pfsd,19TS2201S,10,10,0
8,h,2,11,pfsd,19TS2201S,10,9,1
9,i,2,11,pfsd,19TS2201S,10,8,2
10,j,2,11,pfsd,19TS2201S,10,6,4
11,k,2,11,pfsd,19TS2201S,10,8,2
12,l,2,11,pfsd,19TS2201S,10,0,10
13,m,2,11,pfsd,19TS2201S,10,8,2
14,n,2,11,pfsd,19TS2201S,10,6,4
15,o,2,11,pfsd,19TS2201S,10,3,7
